ExomiRHub	HMDD
Acquired immune deficiency syndrome	Acquired Immunodeficiency Syndrome
Benign bone and soft tissue disease	Bone Diseases
Benign breast disease	Breast Diseases
Benign ovarian disease	Ovarian Diseases
Benign pancreatic or biliary tract diseases	Pancreatic Diseases
Benign prostate disease	Prostatic Diseases
Benign thyroid nodule	Thyroid Nodule
Biliary tract cancer	Biliary Tract Neoplasms
Bladder cancer	Urinary Bladder Neoplasms
Borderline ovarian tumor	Ovarian Neoplasms
Breast cancer	Breast Neoplasms
Cholelithiasis	Cholelithiasis
Chronic hepatitis C	Hepatitis C, Chronic
Chronic pancreatitis	Pancreatitis, Chronic
Colon cancer	Colonic Neoplasms
Colon carcinoma	Colonic Neoplasms
Colorectal cancer	Colorectal Neoplasms
Colorectal carcinoma	Colorectal Neoplasms
Esophageal cancer	Esophageal Neoplasms
Esophageal squamous cell carcinoma	Esophageal Squamous Cell Carcinoma
Fulminant myocarditis	Myocarditis
Gestational diabetes mellitus	Diabetes, Gestational
Glioblastoma	Glioblastoma
Glioma	Glioma
Head and neck cancer	Head and Neck Neoplasms
Hepatocellular carcinoma	Carcinoma, Hepatocellular
Intermediate bone and soft tissue tumor	Bone Neoplasms
Intrahepatic cholangiocarcinoma	Cholangiocarcinoma
Liver cancer	Liver Neoplasms
Liver cirrhosis	Liver Cirrhosis
Lung adenocarcinoma	Adenocarcinoma of Lung
Lung cancer	Lung Neoplasms
Lung cancer (post-operation)	Lung Neoplasms
Lung carcinoma	Lung Neoplasms
Malignant bone and soft tissue tumor	Bone Neoplasms
Meningioma	Meningioma
Metastatic brain tumors	Brain Neoplasms
Multiple myeloma	Multiple Myeloma
Nasopharyngeal carcinoma	Nasopharyngeal Carcinoma
Non-alcoholic steatohepatitis	non-alcoholic steatohepatitis
Non-small cell lung cancer	Carcinoma, Non-Small-Cell Lung
Obesity-related disease	Obesity
Oral squamous cell cancer	Squamous Cell Carcinoma of Head and Neck
Ovarian cancer	Ovarian Neoplasms
Pancreatic cancer	Pancreatic Carcinoma
Perioperative myocardial injury	Myocardial Injury
Polycystic ovary syndrome	Polycystic Ovary Syndrome
Pre-term birth	Premature Birth
Preeclampsia	Pre-Eclampsia
Primary central nervous system lymphomas	Primary Central Nervous System Lymphoma
Prostate cancer	Prostatic Neoplasms
Retinoblastoma	Retinoblastoma
Sarcoma	Sarcoma
Small cell lung carcinoma	Small Cell Lung Carcinoma
Squamous cell carcinoma	Carcinoma, Squamous Cell
Stomach cancer	Stomach Neoplasms
Thyroid cancer	Thyroid Neoplasms
Type 1 autoimmune pancreatitis	Autoimmune Pancreatitis
Ventricular septal defect in the fetus	Heart Septal Defects, Ventricular
Wilms tumor (before chemotherapy)	Wilms Tumor
Wilms tumor (post chemotherapy)	Wilms Tumor